"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","2","","52","0","","0"
"0","Book API","0","Book Management","1","0","Create Book","0"
"0","Book API","0","Book Management","1","0","Delete Book","0"
"0","Shopping Cart","0","Checkout Process","1","0","PayPal Checkout","0"
"0","Book API","0","Book Management","1","0","Update Book","0"
"0","Book API","0","Book Management","1","0","Get Book","0"
"0","Book API","0","Book Management","2","0","Filter Books","0"
"0","Shopping Cart","0","Checkout Process","1","0","Standard Checkout","0"
"0","Book API","1","Book Management","0","0","Pagination","0"
"0","Book API","0","Book Management","1","0","Get Books","0"
"0","Book API","1","Book Management","0","0","Search Books","0"
"0","Shopping Cart","0","Checkout Process","1","0","Empty Cart","0"
"0","Book API","0","Book Management","1","0","Sort Books","0"
